1,2,3,4,5,6,7,8,9,10
-110.05999755859375,-127.13672637939453,-107.64600372314453,-132.5011444091797,-130.7130126953125,-124.81214904785156,-126.24266052246094,-118.64306640625,-0.115234375,1665550536.6887648
-110.05999755859375,-127.13672637939453,-107.64600372314453,-132.5011444091797,-130.7130126953125,-124.81214904785156,-126.24266052246094,-118.64306640625,-0.115234375,1665550536.6887772
-110.05999755859375,-127.13672637939453,-107.64600372314453,-132.5011444091797,-130.7130126953125,-124.81214904785156,-126.24266052246094,-118.64306640625,-0.115234375,1665550536.6887877
-110.05999755859375,-127.13672637939453,-107.64600372314453,-132.5011444091797,-130.7130126953125,-124.81214904785156,-126.24266052246094,-118.64306640625,-0.115234375,1665550536.6887977
-110.05999755859375,-127.13672637939453,-107.64600372314453,-132.5011444091797,-130.7130126953125,-124.81214904785156,-126.24266052246094,-118.64306640625,-0.115234375,1665550536.6888065
-110.05999755859375,-127.13672637939453,-107.64600372314453,-132.5011444091797,-130.7130126953125,-124.81214904785156,-126.24266052246094,-118.64306640625,-0.115234375,1665550536.6888158
-110.05999755859375,-127.13672637939453,-107.64600372314453,-132.5011444091797,-130.7130126953125,-124.81214904785156,-126.24266052246094,-118.64306640625,-0.115234375,1665550536.688825
-110.05999755859375,-127.13672637939453,-107.64600372314453,-132.5011444091797,-130.7130126953125,-124.81214904785156,-126.24266052246094,-118.64306640625,-0.115234375,1665550536.6888392
-110.05999755859375,-127.13672637939453,-107.64600372314453,-132.5011444091797,-130.7130126953125,-124.81214904785156,-126.24266052246094,-118.64306640625,-0.115234375,1665550536.688848
-110.05999755859375,-127.13672637939453,-107.64600372314453,-132.5011444091797,-130.7130126953125,-124.81214904785156,-126.24266052246094,-118.64306640625,-0.115234375,1665550536.6888747
-110.05999755859375,-127.13672637939453,-107.64600372314453,-132.5011444091797,-130.7130126953125,-124.81214904785156,-126.24266052246094,-118.64306640625,-0.115234375,1665550536.6888845
-110.05999755859375,-127.13672637939453,-107.64600372314453,-132.5011444091797,-130.7130126953125,-124.81214904785156,-126.24266052246094,-118.64306640625,-0.115234375,1665550536.6888936
-110.05999755859375,-127.13672637939453,-107.64600372314453,-132.5011444091797,-130.7130126953125,-124.81214904785156,-126.24266052246094,-118.64306640625,-0.115234375,1665550536.6889024
-110.05999755859375,-127.13672637939453,-107.64600372314453,-132.5011444091797,-130.7130126953125,-124.81214904785156,-126.24266052246094,-118.64306640625,-0.115234375,1665550536.688911
-110.05999755859375,-127.13672637939453,-107.64600372314453,-132.5011444091797,-130.7130126953125,-124.81214904785156,-126.24266052246094,-118.64306640625,-0.115234375,1665550536.68892
-110.05999755859375,-127.13672637939453,-107.64600372314453,-132.5011444091797,-130.7130126953125,-124.81214904785156,-126.24266052246094,-118.64306640625,-0.115234375,1665550536.6889288
-110.05999755859375,-127.13672637939453,-107.64600372314453,-132.5011444091797,-130.7130126953125,-124.81214904785156,-126.24266052246094,-118.64306640625,-0.115234375,1665550536.688938
-110.05999755859375,-127.13672637939453,-107.64600372314453,-132.5011444091797,-130.7130126953125,-124.81214904785156,-126.24266052246094,-118.64306640625,-0.115234375,1665550536.6889467
-110.05999755859375,-127.13672637939453,-107.64600372314453,-132.5011444091797,-130.7130126953125,-124.81214904785156,-126.24266052246094,-118.64306640625,-0.115234375,1665550536.6889565
-110.05999755859375,-127.13672637939453,-107.64600372314453,-132.5011444091797,-130.7130126953125,-124.81214904785156,-126.24266052246094,-118.64306640625,-0.115234375,1665550536.6889653
-110.05999755859375,-127.13672637939453,-107.64600372314453,-132.5011444091797,-130.7130126953125,-124.81214904785156,-126.24266052246094,-118.64306640625,-0.115234375,1665550536.6889746
-110.05999755859375,-127.13672637939453,-107.64600372314453,-132.5011444091797,-130.7130126953125,-124.81214904785156,-126.24266052246094,-118.64306640625,-0.115234375,1665550536.6889832
-110.05999755859375,-127.13672637939453,-107.64600372314453,-132.5011444091797,-130.7130126953125,-124.81214904785156,-126.24266052246094,-118.64306640625,-0.115234375,1665550536.688992
-110.05999755859375,-127.13672637939453,-107.64600372314453,-132.5011444091797,-130.7130126953125,-124.81214904785156,-126.24266052246094,-118.64306640625,-0.115234375,1665550536.689001
-110.05999755859375,-127.13672637939453,-107.64600372314453,-132.5011444091797,-130.7130126953125,-124.81214904785156,-126.24266052246094,-118.64306640625,-0.115234375,1665550536.6890101
-110.05999755859375,-127.13672637939453,-107.64600372314453,-132.5011444091797,-130.7130126953125,-124.81214904785156,-126.24266052246094,-118.64306640625,-0.115234375,1665550536.6890187
-110.05999755859375,-127.13672637939453,-107.64600372314453,-132.5011444091797,-130.7130126953125,-124.81214904785156,-126.24266052246094,-118.64306640625,-0.115234375,1665550536.689028
-110.05999755859375,-127.13672637939453,-107.64600372314453,-132.5011444091797,-130.7130126953125,-124.81214904785156,-126.24266052246094,-118.64306640625,-0.115234375,1665550536.689037
-110.05999755859375,-127.13672637939453,-107.64600372314453,-132.5011444091797,-130.7130126953125,-124.81214904785156,-126.24266052246094,-118.64306640625,-0.115234375,1665550536.6890464
-110.05999755859375,-127.13672637939453,-107.64600372314453,-132.5011444091797,-130.7130126953125,-124.81214904785156,-126.24266052246094,-118.64306640625,-0.115234375,1665550536.6890547
-110.05999755859375,-127.13672637939453,-107.64600372314453,-132.5011444091797,-130.7130126953125,-124.81214904785156,-126.24266052246094,-118.64306640625,-0.115234375,1665550536.6890638
