Time,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Color Code,Frequency
2022-02-27 14:44:42.393,16949.953669304094,5551.726287809168,30614.91615950062,31465.46709125842,63567.86949251527,29488.567052908787,10675.036689643466,19312.309540785496,,12.0
2022-02-27 14:42:31.598,15163.110514057937,6763.2802442646325,33719.43935387604,34259.6363138719,60607.06801498748,33000.96488010465,10107.369435712031,18270.002993345617,,10.0
2022-02-27 14:42:28.026,13353.26741376727,6748.304575479577,33817.49645680147,34329.32905308355,60516.72226389912,33204.76808604814,10073.059507973136,18228.36169342538,,10.0
2022-02-27 14:43:50.539,18132.807985878942,6007.746578186343,32109.465552504727,32130.900875437364,64194.2994826197,30079.927155962847,10390.163706560576,18990.287958417888,,14.0
2022-02-27 14:44:10.376,16726.905611384584,6031.595889520156,31873.386427567773,30890.937851779207,64026.08025384906,29728.781250569973,10405.362892790186,19075.135180370235,,16.0
2022-02-27 14:44:35.406,16557.300574457717,5690.821193554544,30865.16629042224,30525.30801597929,63607.14150752324,29601.95745253056,10599.845421295811,19258.55359537049,,20.0
2022-02-27 14:42:36.982,13222.576763937088,6616.473986682176,33223.38708917941,32708.738173095964,61352.54339606088,32634.70919545999,10219.329323688666,18334.86775575492,,11.0
2022-02-27 14:44:52.543,20386.489675818644,5549.468761619182,30434.850506168663,32315.7274503383,65550.0221908119,29499.295890247333,10722.422387888715,19433.925382366822,,6.0
2022-02-27 14:44:42.361,16835.155109781637,5579.889485822855,30601.68392678308,31035.821859338503,63349.87292884266,29521.51352423591,10674.656709987728,19333.051959640023,,12.0
2022-02-27 14:42:16.165,13007.061243899016,6700.315380134032,34116.965129013675,33396.74721917477,60307.0852526528,33743.936865799056,10072.254845172743,18185.111067904363,,16.0
2022-02-27 14:41:35.422,12177.967986818312,6723.42708390082,35853.00276911292,32957.08840573888,60631.20789899921,34992.75118026152,9851.28549948758,17896.05830860833,,12.0
2022-02-27 14:41:43.446,12404.346454661663,6733.865348561448,35569.20266976389,33043.47789805864,60670.99400412965,34945.454888994085,9859.421534469311,17916.823079207312,,6.0
2022-02-27 14:42:13.653,12666.197140955584,6558.292395865011,33948.18710663165,33529.82950566167,60426.17534711067,33864.81509981336,10041.722362246795,18203.17127742425,,16.0
2022-02-27 14:43:32.292,15719.73600622845,6359.138352768226,32804.068363197846,30258.897573816488,64456.55250031383,30681.92668937763,10449.909919489612,18875.131770984142,,7.0
2022-02-27 14:42:13.189,12604.506326258936,6626.532271687063,34051.96625613764,32870.94478260813,60131.8922796121,33885.37870471224,10024.578574249575,18187.97209119464,,16.0
2022-02-27 14:43:53.998,18881.88199780965,6262.690575443576,32432.8058877952,31870.9724391666,64482.61463434871,29938.59707577194,10446.624213054683,19041.629915431728,,9.0
2022-02-27 14:41:27.405,12441.763274879846,6743.655412632873,36312.50993162512,34504.946709268894,61601.49712580408,35122.59246380239,9839.193205737258,17807.43364184304,,14.0
2022-02-27 14:44:22.308,18652.88837586503,5927.101484191595,31601.79038069134,31178.090712796537,64492.35999493123,29607.52303689993,10456.235463170466,19158.66364939972,,10.0
2022-02-27 14:44:42.113,17021.3674928388,5653.247911125173,30747.149079698214,30569.09508336724,63224.39023547056,29639.01664483746,10694.885038719778,19324.13361360236,,12.0
2022-02-27 14:44:27.033,17297.27742639511,5756.04358387513,31069.885917888398,31138.05873847708,64283.34883252965,29619.592978905795,10568.307109869374,19266.51081639657,,11.0
2022-02-27 14:44:49.899,20235.39188330077,5751.260310561695,30865.97095322263,31962.43577747772,57314.49959450956,29545.720463481008,10697.477841076594,19380.102381718443,,6.0
2022-02-27 14:43:47.603,15308.08392859506,6176.993987201928,32237.026958111164,29202.196502947398,63176.62455756957,30227.672186812422,10509.142042296176,19065.747447699006,,14.0
2022-02-27 14:41:18.068,12042.181139252323,6575.97262572916,36504.89139615195,33656.07215834525,60184.70945175999,34906.316984452846,10011.905135143415,17805.13141216414,,5.0
2022-02-27 14:42:05.609,12798.787689064466,6852.128428474478,34534.942750327915,33465.679999074935,60701.14650739986,34180.801711178035,9897.218334343235,18073.91113923921,,8.0
2022-02-27 14:44:05.691,16840.474824962,6042.749410003354,31827.207723523108,30538.71906265248,63887.633548692895,29716.86777077529,10425.77003547788,19038.07598806333,,18.0
2022-02-27 14:41:56.705,12884.193704628196,6811.470605310275,34982.62584002326,34377.094730984536,61203.3455018217,34417.90901635993,9832.778255078583,17970.959004278066,,18.0
2022-02-27 14:43:30.436,15437.3440667801,6248.921900859106,32656.74801549292,30132.25258973272,64557.38121955172,30753.407568145703,10382.92174135706,18869.70029708151,,7.0
2022-02-27 14:41:49.323,12322.270849021776,6738.939194552803,35244.07419491699,32884.57934672586,60514.5317929425,34537.803773618194,9860.159142036337,17977.731582848024,,9.0
2022-02-27 14:41:18.200,12142.428713134375,6613.322390713977,36558.64734156696,34135.494725167126,60457.62425155929,34890.491949378484,9982.959626073793,17763.17718782153,,5.0
2022-02-27 14:41:24.677,12117.372407599976,6687.843106727971,36317.2261497052,32941.08455670888,60785.25612178518,35024.42360215469,9949.20849194628,17801.599836540205,,14.0
2022-02-27 14:44:18.376,16819.24066772946,5757.965833898286,31358.335180084134,31280.729923335308,64492.49410539796,29429.15611614658,10469.199474954545,19146.861928327315,,10.0
2022-02-27 14:44:39.034,18783.57902569521,5769.812258459599,31020.645024853355,30868.899031746278,63923.4857467992,29670.10792137479,10615.446938925616,19267.62840361934,,20.0
2022-02-27 14:43:54.914,19111.25559941001,6209.5157753844,32301.53409260918,30998.740315287152,64732.350675147856,29945.25789561962,10455.341393392251,19024.597886156786,,9.0
2022-02-27 14:43:50.427,18468.35237364201,6191.857897264707,32379.899308669486,31501.05106843127,64230.4646051484,30067.834862212523,10379.166648288568,18934.98974263546,,14.0
2022-02-27 14:44:13.820,19681.47095220935,6007.835985164164,31942.453317934676,32422.904065001498,65371.78938052528,29783.967707630123,10446.288936887851,19120.50922161451,,16.0
2022-02-27 14:42:05.257,12570.0175845644,6718.599107098474,34401.41342895191,32844.92735206215,60450.35993461132,34241.55375260756,9924.621573045442,18100.64382560776,,8.0
2022-02-27 14:43:56.134,18184.239349870604,6253.101677072248,32322.05299401915,31874.16873862371,65470.13705612863,29817.115344657344,10451.988631723956,19018.67467387613,,9.0
2022-02-27 14:41:49.251,12336.0618753507,6639.831559637972,35140.89854251129,33990.47660714109,60951.01665866574,34510.333479682624,9832.934717289772,17970.154341477675,,9.0
2022-02-27 14:42:36.490,13790.936921946635,6697.99079871068,33451.88897274601,34643.88515280309,63161.47007482888,32683.100722205727,10162.690003238917,18279.211912061204,,11.0
2022-02-27 14:42:14.957,12573.34799448824,6591.708253825696,33911.66435619168,32981.34004847289,60087.36760465713,33767.47325271049,10037.855510456027,18190.02845168453,,16.0
2022-02-27 14:42:30.034,13032.363418622426,6585.82974503395,33435.080460915626,33855.27090493094,60179.88147495765,33054.340845863924,10120.221688773834,18274.18276955876,,10.0
2022-02-27 14:44:44.577,17183.484695373143,5754.769534441178,30927.617064430367,32318.63317711749,64030.90823065141,29524.88863764866,10681.563399024417,19341.21034636621,,12.0
2022-02-27 14:44:05.471,16226.003018141151,5942.680650076944,31666.185756467075,30597.750019758943,63907.99598789168,29708.0611834599,10451.49689334594,19076.29747108191,,18.0
2022-02-27 14:41:56.813,12434.588364909694,6678.857705456938,34746.21143891948,33112.008346558614,60451.36576311181,34376.267716439696,9876.118287577425,18003.07846106034,,18.0
2022-02-27 14:43:21.771,14834.092835675818,6307.572878309832,32803.55427307538,29880.72840937715,65121.78511879267,29906.92465387877,10278.650853473053,18761.04846728426,,8.0
2022-02-27 14:44:45.197,16868.77213344242,5611.696018182757,30634.764508576933,31425.904503572525,63734.83702359641,29449.54090708982,10703.535163823984,19390.13831497888,,12.0
2022-02-27 14:43:23.995,15254.327983180045,6358.467800434566,32807.59993882179,30695.6953639621,65571.97160386702,30602.957976217032,10301.874315962115,18800.85692415916,,8.0
2022-02-27 14:44:20.048,16500.616550519055,5729.445007973315,31279.81350181264,30657.630343154717,64161.93415664842,29454.07831121425,10462.248082428943,19156.20495750963,,10.0
2022-02-27 14:42:23.786,12874.180123112215,6728.56798512554,33733.83387730526,32788.57860429032,59875.27190152072,33343.43830864887,10073.104211462049,18224.405434656797,,20.0
2022-02-27 14:41:55.713,12450.972193595431,6743.878930077426,34822.54264623435,33000.1378655598,60409.97033238058,34419.4736384718,9909.020055415638,18009.404004741195,,18.0
2022-02-27 14:43:55.406,18400.604236197974,6000.638723449555,31932.46208816315,31563.188918017026,65275.11808575608,29794.65184147976,10433.414332081597,18991.070269473825,,9.0
2022-02-27 14:42:47.787,13893.263208063032,6591.954123014703,32970.20887973415,34730.60992128967,60325.99482846199,32293.68863030537,10256.74614390685,18408.472050246244,,7.0
2022-02-27 14:43:50.027,18777.78992388129,6198.786938045852,32433.27527442876,30937.67534943525,63834.03406548907,30022.282007012607,10398.322093286764,18952.80408296634,,14.0
2022-02-27 14:44:03.983,16061.583585927916,5928.397885370003,31648.349064391743,31323.33234826712,64015.82080314408,29648.71730193106,10345.124941483136,18987.85161827226,,18.0
